city,name
Trieste, Trieste
Monfalcone, Monfalcone
Grado, Grado
Gorizia, Gorizia
Cividale del Friuli, Cividale del Friuli
Tarvisio, Tarvisio
Palmanova, Palmanova
Latisana, Latisana
Cervignano del Friuli, Cervignano
Udine, Udine
Spilimbergo / Spilimberc, Spilimbergo
Gemona del Friuli, Gemona
Codroipo / Codroip, Codroipo
San Daniele del Friuli, San Daniele
Tolmezzo / Tumieç, Tolmezzo
Azzano Decimo, Azzano Decimo
San Vito al Tagliamento / San Vît dal Tiliment, San Vito
Pordenone, Pordenone
Sacile, Sacile
Maniago / Manià, Maniago
